"场景名称","场景描述","家长画像","开场话术","难度","状态","异议步骤"
"线下对比观望型家长","体验课后家长认可课程，但习惯先去线下机构对比，担心线上课缺少确定性。学生情况：孩子对课堂内容有兴趣，但家长尚未形成报名决策。","体验课家长，认可课程但决策谨慎，倾向多比较线下机构。","课程挺好的，我们去线下看看。","标准","启用","想先看线下|课程挺好的，我们去线下看看|先认可家长愿意比较和谨慎决策的想法，追问家长看线下主要想确认师资、效果、距离还是价格，帮助家长建立清晰比较标准。；线上价值确认|线下老师在身边是不是更放心？|围绕线上课的互动反馈、作品沉淀、时间灵活和课后跟进说明差异，避免贬低线下，推动约定一次对比后的回访或试听复盘。"
"年龄偏小观望型家长","体验课后家长觉得孩子年龄还小，担心现在学太早、理解不了，倾向明年再考虑。学生情况：孩子年龄偏小但能跟随体验课完成简单互动。","低龄孩子家长，保护心理强，担心过早学习造成压力。","孩子还小，明年再学吧。","基础","启用","年龄太小|孩子还小，明年再学吧|先共情家长担心孩子压力和理解力，再说明低龄阶段重点不是复杂代码，而是兴趣、逻辑表达和专注力。；低门槛开始|我怕他现在学不懂，反而以后更排斥。|强调课程会按年龄拆小目标，通过游戏化项目建立成就感，建议先用短周期低压力方式观察孩子适应度。"
"家庭意见不一致型家长","体验课后妈妈认可课程，但与爸爸沟通后出现分歧，爸爸对课程必要性或投入价值不太认可。学生情况：孩子体验反馈较好，但家庭决策人意见未统一。","妈妈认可课程但受爸爸意见影响，需要帮助她获得沟通依据。","我昨天和爸爸商量了，孩子爸爸不太同意。","标准","启用","爸爸不同意|我昨天和爸爸商量了，孩子爸爸不太同意|先理解家庭共同决策，追问爸爸主要顾虑是价格、时间、效果还是孩子兴趣，避免让妈妈夹在中间承压。；共同决策推进|他觉得这个课不是刚需，想以后再说。|帮助妈妈梳理孩子体验表现、课程价值和阶段目标，提供可转述给爸爸的重点，并争取一次共同沟通或发送体验反馈材料。"
"时间排满型家长","家长认可孩子兴趣培养，但目前兴趣班较多，担心新增课程挤压孩子休息和自由玩耍时间。学生情况：孩子已有多个兴趣安排，家长重视时间平衡。","重视孩子全面发展和休息时间的家长，害怕课程负担过重。","兴趣班排得挺满的了，没有时间了，我也希望他能有自己玩的时间。","标准","启用","时间不够|兴趣班排得挺满的了，没有时间了，我也希望他能有自己玩的时间。|先共情家长希望孩子有自由玩耍时间，再了解现有兴趣班安排，判断是真没时间还是担心新增负担。；低频方案推进|我怕再加一门课，孩子会太累。|说明课程频率、单次时长和灵活排课方式，突出编程对思维训练的长期价值，提出低频试学或替换低价值安排的方案。"
"视力担忧型家长","家长担心线上编程会增加孩子看手机或屏幕时间，影响视力健康。学生情况：孩子对屏幕内容感兴趣，家长对用眼管理敏感。","关注孩子健康和用眼习惯的家长，对线上学习天然谨慎。","学编程用手机的时间太长了，他的眼睛我很担心。","标准","启用","担心视力|学编程用手机的时间太长了，他的眼睛我很担心。|先认可家长对视力健康的重视，澄清课程使用设备、单次时长和课间休息安排，区分有目标学习和无节制刷屏。；用眼管理方案|他平时已经看屏幕不少了，我不想再增加。|给出可执行的护眼建议，如大屏设备、固定距离、课后远眺和家长监督，强调课程时间可控，并推动先按护眼标准试一阶段。"
"兴趣波动型家长","体验课后孩子前两天兴奋，随后热情下降，家长担心孩子三分钟热度、坚持不下来。学生情况：孩子兴趣容易被新鲜感影响，需要持续激励。","观察孩子兴趣变化的家长，担心报名后孩子不坚持。","孩子三分钟热度，这两天不怎么喜欢了。","标准","启用","兴趣下降|孩子三分钟热度，这两天不怎么喜欢了。|先承接家长对坚持度的担心，追问孩子不喜欢的具体表现，是忘了、觉得难、没人陪还是新鲜感过去了。；持续激励设计|我担心报了之后他坚持不了。|说明课程通过项目目标、作品展示、老师反馈和阶段成就感维持兴趣，建议先设定一个短期目标，用结果判断是否适合继续。"
"价格纠结型家长","家长认可课程但对价格敏感，觉得投入偏高，需要看到价值、效果和性价比。学生情况：孩子体验表现不错，但家长尚未确认投入是否值得。","价格敏感型家长，会反复比较课程价值和实际花费。","价格还是有点贵了，比较纠结。","标准","启用","价格偏贵|价格还是有点贵了，比较纠结。|先理解家长对教育投入谨慎，追问贵是超预算、和其他课程对比贵，还是担心学了没效果。；价值拆解推进|我主要怕花了钱，最后孩子没学出什么。|把费用拆解到课程体系、老师反馈、作品产出和长期能力收益，避免单纯降价，帮助家长比较投入产出并推荐合适报名方案。"
"线上效果担忧型家长","家长担心线上学习没有老师在身边陪着，孩子注意力和学习效果不如线下。学生情况：孩子线上体验能互动，但家长对线上课效果缺乏信心。","对线上学习效果谨慎的家长，担心缺少现场监督。","线上学习没有老师陪着，担心学习效果不好。","进阶","启用","线上没陪伴|线上学习没有老师陪着，担心学习效果不好。|先认可线上学习确实需要过程管理，追问家长担心的是注意力、听不懂、没人纠错还是课后没人管。；效果机制说明|线下老师能看着他，线上我怕他走神。|说明直播互动、课堂提问、作业反馈、学习跟踪和家长同步机制，强调老师通过在线工具持续管理过程，并建议用一次正式课检验状态。"
"效果保证追问型家长","家长直接追问课程是否一定有效，希望老师给出学习效果保证。学生情况：孩子体验有参与，但家长需要更明确的效果判断依据。","结果导向型家长，关注学习效果和可见变化。","老师，你说的这么好，能保证学习效果吗？","进阶","启用","能否保证效果|老师，你说的这么好，能保证学习效果吗？|先避免绝对承诺，肯定家长关注结果很正常，再说明效果取决于课程体系、孩子参与和家庭配合。；阶段目标对齐|那我怎么判断他到底有没有进步？|给出可观察的阶段目标，如作品完成、逻辑表达、课堂参与度和独立思考，并承诺过程反馈和阶段复盘。"
"体验后否定型家长","家长带孩子体验后反馈孩子不太喜欢，认为课程不适合，报名意愿较低。学生情况：孩子体验过程中可能有卡顿、陌生或短暂抗拒。","体验后犹豫甚至否定的家长，需要老师重新识别孩子真实反馈原因。","我问了一下孩子，感觉孩子对这个课不太喜欢。","进阶","启用","孩子不喜欢|我问了一下孩子，感觉孩子对这个课不太喜欢。|先尊重孩子反馈，不急于反驳，追问孩子不喜欢的具体原因，是难度、陌生、节奏、表达压力还是当天状态。；重新切入方案|他说没什么意思，我就怕强迫他学。|结合体验课表现做客观分析，区分短暂不适应和真正没兴趣，提出更适合孩子的切入方式、项目主题或再次观察方案。"
